Id,Category,Confidence,Path
0,-1,0.0000,None
1,-1,0.0000,None
2,-1,0.0000,None
3,-1,0.0000,None
4,-1,0.0000,None
5,-1,0.0000,None
6,-1,0.0000,None
7,-1,0.0000,None
8,-1,0.0000,None
9,-1,0.0000,None
10,-1,0.0000,None
11,-1,0.0000,None
12,-1,0.0000,None
13,-1,0.0000,None
14,-1,0.0000,None
15,-1,0.0000,None
16,-1,0.0000,None
17,-1,0.0000,None
18,-1,0.0000,None
19,-1,0.0000,None
20,-1,0.0000,None
21,-1,0.0000,None
22,-1,0.0000,None
23,-1,0.0000,None
24,-1,0.0000,None
25,-1,0.0000,None
26,-1,0.0000,None
27,-1,0.0000,None
28,-1,0.0000,None
29,-1,0.0000,None
30,-1,0.0000,None
31,-1,0.0000,None
32,-1,0.0000,None
33,-1,0.0000,None
34,-1,0.0000,None
35,-1,0.0000,None
36,-1,0.0000,None
37,-1,0.0000,None
38,-1,0.0000,None
39,-1,0.0000,None
40,-1,0.0000,None
41,-1,0.0000,None
42,-1,0.0000,None
43,-1,0.0000,None
44,-1,0.0000,None
45,-1,0.0000,None
46,-1,0.0000,None
47,-1,0.0000,None
48,-1,0.0000,None
49,-1,0.0000,None
50,-1,0.0000,None
51,-1,0.0000,None
52,-1,0.0000,None
53,-1,0.0000,None
54,-1,0.0000,None
55,-1,0.0000,None
56,-1,0.0000,None
57,-1,0.0000,None
58,-1,0.0000,None
59,-1,0.0000,None
60,-1,0.0000,None
61,-1,0.0000,None
62,-1,0.0000,None
63,-1,0.0000,None
64,-1,0.0000,None
65,-1,0.0000,None
66,-1,0.0000,None
67,-1,0.0000,None
68,-1,0.0000,None
69,-1,0.0000,None
70,-1,0.0000,None
71,-1,0.0000,None
72,-1,0.0000,None
73,-1,0.0000,None
74,-1,0.0000,None
75,-1,0.0000,None
76,-1,0.0000,None
77,-1,0.0000,None
78,-1,0.0000,None
79,-1,0.0000,None
80,-1,0.0000,None
81,-1,0.0000,None
82,-1,0.0000,None
83,-1,0.0000,None
84,-1,0.0000,None
85,-1,0.0000,None
86,-1,0.0000,None
87,-1,0.0000,None
88,-1,0.0000,None
89,-1,0.0000,None
90,-1,0.0000,None
91,-1,0.0000,None
92,-1,0.0000,None
93,-1,0.0000,None
94,-1,0.0000,None
95,-1,0.0000,None
96,-1,0.0000,None
97,-1,0.0000,None
98,-1,0.0000,None
99,-1,0.0000,None
100,-1,0.0000,None
101,-1,0.0000,None
102,-1,0.0000,None
103,-1,0.0000,None
104,-1,0.0000,None
105,-1,0.0000,None
106,-1,0.0000,None
107,-1,0.0000,None
108,-1,0.0000,None
109,-1,0.0000,None
110,-1,0.0000,None
111,-1,0.0000,None
112,-1,0.0000,None
113,-1,0.0000,None
114,-1,0.0000,None
115,-1,0.0000,None
116,-1,0.0000,None
117,-1,0.0000,None
118,-1,0.0000,None
119,-1,0.0000,None
120,-1,0.0000,None
121,-1,0.0000,None
122,-1,0.0000,None
123,-1,0.0000,None
124,-1,0.0000,None
125,-1,0.0000,None
126,-1,0.0000,None
127,-1,0.0000,None
128,-1,0.0000,None
129,-1,0.0000,None
130,-1,0.0000,None
131,-1,0.0000,None
132,-1,0.0000,None
133,-1,0.0000,None
134,-1,0.0000,None
135,-1,0.0000,None
136,-1,0.0000,None
137,-1,0.0000,None
138,-1,0.0000,None
139,-1,0.0000,None
140,-1,0.0000,None
141,-1,0.0000,None
142,-1,0.0000,None
143,-1,0.0000,None
144,-1,0.0000,None
145,-1,0.0000,None
146,-1,0.0000,None
147,-1,0.0000,None
148,-1,0.0000,None
149,-1,0.0000,None
150,-1,0.0000,None
151,-1,0.0000,None
152,-1,0.0000,None
153,-1,0.0000,None
154,-1,0.0000,None
155,-1,0.0000,None
156,-1,0.0000,None
157,-1,0.0000,None
158,-1,0.0000,None
159,-1,0.0000,None
160,-1,0.0000,None
161,-1,0.0000,None
162,-1,0.0000,None
163,-1,0.0000,None
164,-1,0.0000,None
165,-1,0.0000,None
166,-1,0.0000,None
167,-1,0.0000,None
168,-1,0.0000,None
169,-1,0.0000,None
170,-1,0.0000,None
171,-1,0.0000,None
172,-1,0.0000,None
173,-1,0.0000,None
174,-1,0.0000,None
175,-1,0.0000,None
176,-1,0.0000,None
177,-1,0.0000,None
178,-1,0.0000,None
179,-1,0.0000,None
180,-1,0.0000,None
181,-1,0.0000,None
182,-1,0.0000,None
183,-1,0.0000,None
184,-1,0.0000,None
185,-1,0.0000,None
186,-1,0.0000,None
187,-1,0.0000,None
188,-1,0.0000,None
189,-1,0.0000,None
190,-1,0.0000,None
191,-1,0.0000,None
192,-1,0.0000,None
193,-1,0.0000,None
194,-1,0.0000,None
195,-1,0.0000,None
196,-1,0.0000,None
197,-1,0.0000,None
198,-1,0.0000,None
199,-1,0.0000,None
200,-1,0.0000,None
201,-1,0.0000,None
202,-1,0.0000,None
203,-1,0.0000,None
204,-1,0.0000,None
205,-1,0.0000,None
206,-1,0.0000,None
207,-1,0.0000,None
208,-1,0.0000,None
209,-1,0.0000,None
210,-1,0.0000,None
211,-1,0.0000,None
212,-1,0.0000,None
213,-1,0.0000,None
214,-1,0.0000,None
215,-1,0.0000,None
216,-1,0.0000,None
217,-1,0.0000,None
218,-1,0.0000,None
219,-1,0.0000,None
220,-1,0.0000,None
221,-1,0.0000,None
222,-1,0.0000,None
223,-1,0.0000,None
224,-1,0.0000,None
225,-1,0.0000,None
226,-1,0.0000,None
227,-1,0.0000,None
228,-1,0.0000,None
229,-1,0.0000,None
230,-1,0.0000,None
231,-1,0.0000,None
